metric,value
command_sample_count,631
output_sample_count,1291
nominal_duration_s,15
execution_duration_s,30
command_lookahead_s,0
command_feedforward_gain,1
time_scale,2
retime_total_scale,2
retime_max_local_scale,2
dynamic_inertia_scale,200
dynamic_drive_stiffness,4000000
dynamic_drive_damping,1
modal_damping_ratio,1
dynamic_actuator_time_constant,0
dynamic_use_force_actuator,1
dynamic_force_time_constant,0.05
dynamic_force_rate_limit,500
dynamic_force_magnitude_limit,180
mean_dynamic_target_error_mm,0.126007888790324
max_dynamic_target_error_mm,0.629464765815715
max_dynamic_force_N,169.904645290911
final_qdot_norm,0.0716538644343749
constraint_failures,0
dynamic_time_s,198.7384095
quasistatic_time_s,24.486091
mean_same_baseline_tip_delta_mm,0.0959161855384768
max_same_baseline_tip_delta_mm,0.639785544547016
max_quasistatic_force_N,161.098093621456
same_baseline_command_mismatch_m,0
max_quasistatic_residual,8.35808314575956e-10
