metric,value
command_sample_count,649
output_sample_count,710
nominal_duration_s,15
execution_duration_s,17
command_lookahead_s,0
command_feedforward_gain,1
command_endpoint_shape_start_duration_s,0.025
command_endpoint_shape_end_duration_s,0.02
command_endpoint_shape_sync_target,1
command_endpoint_shape_max_qddot_norm,8500
command_endpoint_shape_max_jerk_norm,4000000
dynamic_preload_duration_s,0
dynamic_postload_duration_s,0
dynamic_force_preload_lookahead_s,0
dynamic_force_preload_gain,1
time_scale,1
retime_total_scale,1.13333333333333
retime_max_local_scale,2.36207314146011
use_constant_mass,1
dynamic_use_geometric_inertia,0
dynamic_inertia_scale,200
dynamic_drive_stiffness,4000000
dynamic_drive_damping,1
modal_damping_ratio,1
dynamic_actuator_time_constant,0
dynamic_use_force_actuator,1
dynamic_force_time_constant,0.05
dynamic_force_rate_limit,500
dynamic_force_magnitude_limit,180
mean_dynamic_target_error_mm,0.17079039053077
max_dynamic_target_error_mm,0.947617163184075
max_dynamic_force_N,180
final_qdot_norm,3.1006594760847
constraint_failures,0
dynamic_time_s,62.3866755
quasistatic_time_s,0
