metric,value
command_sample_count,631
output_sample_count,1291
nominal_duration_s,15
execution_duration_s,30
command_lookahead_s,0
command_feedforward_gain,1
command_endpoint_shape_start_duration_s,0
command_endpoint_shape_end_duration_s,0
command_endpoint_shape_sync_target,1
command_endpoint_shape_max_qddot_norm,Inf
command_endpoint_shape_max_jerk_norm,Inf
dynamic_preload_duration_s,0
dynamic_postload_duration_s,0
dynamic_force_preload_lookahead_s,0
dynamic_force_preload_gain,1
time_scale,2
retime_total_scale,2
retime_max_local_scale,2
use_constant_mass,1
dynamic_use_geometric_inertia,0
dynamic_inertia_scale,200
dynamic_drive_stiffness,4000000
dynamic_drive_damping,1
modal_damping_ratio,1
dynamic_actuator_time_constant,0
dynamic_use_force_actuator,1
dynamic_force_time_constant,0.05
dynamic_force_rate_limit,500
dynamic_force_magnitude_limit,180
dynamic_contact_friction_enabled,1
dynamic_contact_friction_mu,0.08
dynamic_contact_friction_max_force_N,12
command_friction_redistribution_enabled,0
command_friction_redistribution_gain,0
command_friction_max_abs_bias_um,0
command_friction_focus_force_rms_before_N,0
command_friction_focus_force_rms_after_N,0
mean_dynamic_target_error_mm,0.130990155884821
max_dynamic_target_error_mm,0.614758756054387
max_dynamic_force_N,167.830893570893
final_qdot_norm,3.31810495517606e-07
constraint_failures,0
dynamic_time_s,76.9775451
quasistatic_time_s,0
max_contact_friction_drive_force_N,1.36629731990248
max_contact_normal_force_N,87.4110727907786
max_contact_slip_velocity_m_per_s,0.00552642350540965
net_contact_friction_work_J,0.00346627132204435
