metric,value
command_sample_count,649
output_sample_count,928
nominal_duration_s,15
execution_duration_s,20
command_lookahead_s,0
command_feedforward_gain,1
command_endpoint_shape_start_duration_s,0.032
command_endpoint_shape_end_duration_s,0.008
command_endpoint_shape_sync_target,1
command_endpoint_shape_max_qddot_norm,Inf
command_endpoint_shape_max_jerk_norm,Inf
dynamic_preload_duration_s,0
dynamic_postload_duration_s,0
dynamic_force_preload_lookahead_s,0
dynamic_force_preload_gain,1
time_scale,1
retime_total_scale,1.33333333333333
retime_max_local_scale,3.49399234924123
use_constant_mass,1
dynamic_use_geometric_inertia,0
dynamic_inertia_scale,200
dynamic_drive_stiffness,4000000
dynamic_drive_damping,1
modal_damping_ratio,1
dynamic_actuator_time_constant,0
dynamic_use_force_actuator,1
dynamic_force_time_constant,0.05
dynamic_force_rate_limit,500
dynamic_force_magnitude_limit,180
dynamic_contact_friction_enabled,1
dynamic_contact_friction_mu,0.08
dynamic_contact_friction_max_force_N,12
mean_dynamic_target_error_mm,0.143389290806409
max_dynamic_target_error_mm,0.626580285586436
max_dynamic_force_N,180
final_qdot_norm,8.07065670218849e-06
constraint_failures,0
dynamic_time_s,77.1868324
quasistatic_time_s,0
max_contact_friction_drive_force_N,4.17344557392202
max_contact_normal_force_N,87.9824008774625
max_contact_slip_velocity_m_per_s,0.00877422999723971
net_contact_friction_work_J,0.00350912724553205
