eval_index,objective,duration_s,mean_error_mm,max_error_mm,force_saturation_fraction,near_rate_limit_fraction,force_rate_utilization,max_qddot_norm,endpoint_jerk_norm,max_force_N,max_force_rate_N_per_s,friction_focus_share,friction_d3_share,friction_d9_share,friction_recipient_share,friction_focus_barrier,friction_d3_barrier,friction_d9_barrier,friction_recipient_shortfall,friction_barrier_objective,redistribution_leakage_Nm,redistribution_gain,redistribution_max_bias_m,redistribution_over_transfer_weight,redistribution_recipient_final_force_weight,redistribution_no_increase_weight,constraint_failures,shape_start_duration_s,shape_end_duration_s,knot_log_scale,output_dir,result_file
1,1.26019995021778,20,0.178188089680099,0.613472085143166,0.0427807486631016,0.0224598930481283,1.00000068777482,32974.7939343108,1141910.77593561,180,500.00034388741,0.829445539431681,0.602896467482134,0.226549071949547,0.0957637768684067,0.000132686221230582,0.00924970668459004,0,0.00179455864206464,0.149564459544596,2.29103716591134e-18,0.35,4e-05,3,0.12,3,0,0.02,0.02,0 0 0 0 0,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_001,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_001\three_section_dynamic_hard_replay_result.mat
2,1.13026626696722,20,0.178815682837169,0.633661036370412,0.0427807486631016,0.0224598930481283,1.00000355997851,25116.6416580386,1352816.37585083,180,500.001779989257,0.830266155736369,0.603393621073693,0.226872534662676,0.0949507696313934,0.000156742941111525,0.00942439263259874,0,0.00254947273152595,0.159944111229426,2.29103716591134e-18,0.35,4e-05,3,0.12,3,0,0.026,0.02,0 0 0 0 0,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_002,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_002\three_section_dynamic_hard_replay_result.mat
3,1.13176575321252,20,0.178815691543926,0.633661036370412,0.0427807486631016,0.0224598930481283,1.00000355997851,25116.6416580386,1352816.37585083,180,500.001779989257,0.830266105188142,0.603393580752679,0.226872524435463,0.0949507985427824,0.0001567413975818,0.00942437839865413,0,0.00254944353555683,0.159943595298035,2.29103716591134e-18,0.35,4e-05,3,0.12,3,0,0.026,0.026,0 0 0 0 0,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_003,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_003\three_section_dynamic_hard_replay_result.mat
4,1.128764442449,20,0.178815683539655,0.633661036370412,0.0427807486631016,0.0224598930481283,1.00000355997851,25116.6416580386,1352816.37585083,180,500.001779989257,0.830266088300851,0.603393520358787,0.226872567942064,0.0949508977705698,0.000156740881916822,0.0094243570786916,0,0.00254934333232368,0.159942286535588,2.29103716591134e-18,0.35,4e-05,3,0.12,3,0,0.026,0.014,0 0 0 0 0,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_004,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_004\three_section_dynamic_hard_replay_result.mat
5,1.76144834793031,20,0.181461415216122,0.633660536504476,0.0909090909090909,0.0224598930481283,1.00000413872282,25116.6416641316,1352816.37585083,180,500.00206936141,0.840169297320849,0.65297166424292,0.187197633077929,0.0928642951993197,0.000604997850114217,0.0350517806180385,0,0.00509182830024516,0.551323177256818,3.22519777181779e-18,0.5,4e-05,3,0.12,3,0,0.026,0.014,0 0 0 0 0,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_005,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_005\three_section_dynamic_hard_replay_result.mat
6,0.858711345502695,20,0.177739351074995,0.63366056976435,0.0181818181818182,0.0224598930481283,1.00000297641178,25116.6416519108,1352816.37585083,180,500.001488205889,0.823303945965783,0.554241677022639,0.269062268943143,0.0965270568286411,1.62344719583762e-05,5.94771040145039e-05,0,0.00120613342714887,0.0131537652790258,1.2213635426675e-18,0.2,4e-05,3,0.12,3,0,0.026,0.014,0 0 0 0 0,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_006,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_006\three_section_dynamic_hard_replay_result.mat
7,0.858711345502695,20,0.177739351074995,0.63366056976435,0.0181818181818182,0.0224598930481283,1.00000297641178,25116.6416519108,1352816.37585083,180,500.001488205889,0.823303945965783,0.554241677022639,0.269062268943143,0.0965270568286411,1.62344719583762e-05,5.94771040145039e-05,0,0.00120613342714887,0.0131537652790258,1.2213635426675e-18,0.2,5e-05,3,0.12,3,0,0.026,0.014,0 0 0 0 0,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_007,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_007\three_section_dynamic_hard_replay_result.mat
8,0.858711345502695,20,0.177739351074995,0.63366056976435,0.0181818181818182,0.0224598930481283,1.00000297641178,25116.6416519108,1352816.37585083,180,500.001488205889,0.823303945965783,0.554241677022639,0.269062268943143,0.0965270568286411,1.62344719583762e-05,5.94771040145039e-05,0,0.00120613342714887,0.0131537652790258,1.2213635426675e-18,0.2,3e-05,3,0.12,3,0,0.026,0.014,0 0 0 0 0,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_008,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_008\three_section_dynamic_hard_replay_result.mat
9,0.881339908829836,20,0.177867964752131,0.633660523973942,0.0203208556149733,0.0224598930481283,1.00000414292322,25116.6416530909,1352816.37585083,180,500.002071461611,0.824788558035863,0.562390568967042,0.262397989068822,0.0958282727822404,3.41021535735097e-05,0.000507524625874419,0,0.00174033079793963,0.0250542871988143,1.43697053715299e-18,0.2,4e-05,3.7,0.12,3,0,0.026,0.014,0 0 0 0 0,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_009,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_009\three_section_dynamic_hard_replay_result.mat
10,0.833583480632803,20,0.177549230113158,0.633660637975769,0.0149732620320856,0.0224598930481283,1.00000418609368,25116.6416496115,1352816.37585083,180,500.002093046841,0.820518488068862,0.538727218468142,0.28179126960072,0.0979729400413994,3.99806480594753e-07,0,0,0.000410897207576181,0.00411536897945132,9.49086586979897e-19,0.2,4e-05,2.3,0.12,3,0,0.026,0.014,0 0 0 0 0,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_010,D:\RodDrindcontinuum\src\3sec\outputs\three_section_recipient_feasible_formal_study_16eval\optimizer_16eval_n21\evaluations\eval_010\three_section_dynamic_hard_replay_result.mat
